FoodGroup;ProductGroep;Name;Naam;Code
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit drink concentrate fruitmix;Siroop vruchtenmix;497
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit drink concentrate Karvan Cevitam;Siroop vruchtenlimonade- Karvan Cevitam;1810
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit drink concentrate light;Siroop vruchtenlimonade- light;2289
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit drink concentrate undiluted;Siroop vruchtenlimonade-;463
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit drink concentrated w 40 mg vit C;Siroop vruchtenlimonade- m 40 mg vit C;2680
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit drink Fruit2da;Fruitdrank Fruit2da;2153
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit drink Roosvicee 50/50;Vruchtendrank Roosvicee 50/50;2644
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit drink Vitamientje bosvr;Vruchtendrank Appelsientje Vitamientje bosvruchten;2146
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit juice conc with added vit C;Diksap m vit C geconcentreerd;2291
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit juice concentrated;Diksap geconcentreerd;1655
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit juice dk Coolbest light orange;Vruchtendrank Coolbest light premium orange;2152
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit juice dk minimal 2 fruits;Vruchtendrank 2 of meer vruchten;1463
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit juice dk minimal 2 fruits w vit C;Vruchtendrank 2 of meer vruchten m vit C;2634
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit juice dk Roosvicee Multivit light;Vruchtendrank Roosvicee Multivit light;2637
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit juice dk Roosvicee Spongebob;Vruchtendrank Roosvicee Spongebob/Shrek;2481
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit juice dk Surango multivit light;Vruchtendrank multivit nectar light Surango;2515
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit juice drink 12fruit nectar light;Vruchtendrank multivit 12vr nectar light;2490
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit juice drink ACE average;Vruchtendrank ACE gem;2483
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit juice drink diary Wicky fruitzacht;Vruchtendrank m zuivel Wicky fruitzacht rood fruit;2635
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit juice drink raspberr;Vruchtendrank frambozen;399
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit juice drink redcurrent;Vruchtendrank rode bessen;385
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit juice drink Roosvicee Multivit;Vruchtendrank Roosvicee Multivit;1878
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit juice drink w dairy Wicky peach;Vruchtendrank m zuivel Wicky fruitzacht perzik;2328
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruit juicedrink w sweetener 5-<8g CHO;Vruchtendrank m zoetstof 5-<8g KH;2491
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruitdrink conc sugar and sw 5-10 g CHO;Siroop vruchtenlim m suiker en zoetst 5-10g KH;2534
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Fruitdrink conc w sugar & sw 10-15 g CHO;Siroop vruchtenlim m suiker en zoetst 10-15g KH;2831
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Gin Dutch lemon flavoured;Jenever citroen-;393
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Gin Dutch red currant flavoured;Jenever bessen-;386
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Gin old Dutch;Jenever oude;402
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Gin young Dutch;Jenever jonge;401
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Ice tea;IJsthee;2086
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Ice tea light;IJsthee light;2087
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Ice tea with less sugar;IJsthee m minder suiker;2724
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Ice tea with suiker and sweetner;IJsthee m suiker en zoetstof;2088
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Jagermeister herb liquor;Jagermeister;805
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice 1e sapje 4 mths Olvarit;Sap 1e sapje 4 mnd Olvarit;1333
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice apple;Sap appel-;383
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice apple Appelsientje Groeifruit;Sap appel- Appelsientje Groeifruit appel;2148
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice apple with vitamin C;Sap appel- m vit C;2144
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice beetroot;Sap bieten-;861
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice carrot;Sap wortel-;1656
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice drink;Limonade vruchten-;417
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice drink Dubbelfrisss;Limonade vruchten- Dubbelfrisss;2134
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice drink Dubbelfrisss less sugar;Limonade vruchten- Dubbelfrisss minder zoet;2825
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice drink light;Limonade vruchten- light;1521
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice drink Spa&Fruit light still;Limonade vruchten- Spa&Fruit light koolzuurvrij;2139
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice drink Spa&Fruit still;Limonade vruchten- Spa&Fruit koolzuurvrij;2138
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice drink Vruchtenfris/Tintelfruit;Limonade vruchten- Vruchtenfris/Tintelfruit;2135
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice drink Vruchtenfris/Tintelfruit lig;Limonade vruchten- Vruchtenfris/Tintelfruit light;2137
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice drink w sugar & sw;Limonade vruchten- m suiker en zoetstof;2436
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice drink Wick;Limonade vruchten- Wick;2434
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice fruit Coolbest Vitaday original;Sap vruchten- Coolbest Vitaday original;2151
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice fruit Coolbest Vitaday tropical;Sap vruchten- Coolbest Vitaday tropical;2150
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice fruit Hero Fruit&Co;Sap vruchten- Hero Fruit&Co;2564
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice fruit multi w vitamins SuperdeBoer;Sap vruchten- multivr sap m vit Super de Boer;2154
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice fruit Vitamientje oranje vruchten;Sap vruchten- Appelsientje Vitamientje oranje vr;2145
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice grape;Sap druiven-;396
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice grapefruit;Sap grapefruit-;664
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice multifruit;Sap multivruchten-;2507
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice multifruit mild w vit C;Sap vruchten- mild multifruit m vit C;2851
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice orange Appelsientje Groeifruit;Sap sinaasappel- Appelsientje Groeifruit sin;2149
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice orange freshly squeezed;Sap sinaasappel- vers geperst;2755
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice orange pasteurized;Sap sinaasappel- gepasteuriseerd;410
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice orange with calcium Appelsientje;Sap sinaasappel- m calcium Appelsientje;2143
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice orange with pulp;Sap sinaasappel- m vruchtvlees;1932
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice pear;Sap peren-;923
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice pineapple;Sap ananas-;1462
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice redcurrant;Sap bessen-;388
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice sauerkraut;Sap zuurkool-;1657
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice tomato Appelsientje Zontomaat;Sap tomaten- Appelsientje Zontomaat;1934
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice tomato/vegetable;Sap tomatengroenten-;1132
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice tomato/vegetable Appelsientje;Sap tomatengroenten- Appelsientje Tomaat-Groente;1933
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Juice tomato/vegetable low sodium;Sap tomatengroenten- Na-;1156
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Lemonade fruit Wicky light;Limonade vruchten- Wicky light;2492
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Lemonade squash Dubbelfrisss light;Limonade vruchten- Dubbelfrisss light;2136
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Liqueur <15 vol% alcohol;Likeur <15 vol% alc;1465
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Liqueur >25 vol% alcohol;Likeur >25 vol% alc;1466
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Liqueur 15-25 vol% alcohol;Likeur 15-25 vol% alc;403
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Liqueur with cream 15-25 vol% alcohol;Likeur met room 15-25 vol% alc;2828
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Madeira;Madeira;857
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Mineral water average;Bronwater gem;747
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Mineral water Bar le Duc;Bronwater Bar le Duc;2074
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Mineral water Chaudfontaine;Bronwater Chaudfontaine;1131
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Mineral water Evian;Bronwater Evian;398
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Mineral water Perrier;Bronwater Perrier;406
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Mineral water Sourc;Bronwater Sourc;1968
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Mineral water Spa;Bronwater Spa;411
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Mineral water Vittel;Bronwater Vittel;420
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Mineral water w sweetner;Bronwater m zoetstof;2141
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Muscatel;Muscatel;405
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Port wine;Port;407
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Rum;Rum;408
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Shand;Shand;3009
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Sherr;Sherr;409
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Smoothie fruit;Smoothie vruchten;2639
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Smoothie fruit w dair;Smoothie vruchten m zuivel;2640
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Soft drink cola with caffeine;Frisdrank cola;395
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Soft drink light without caffeine;Frisdrank light z cafeine;1522
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Soft drink tonic;Frisdrank tonic;414
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Soft drink w sugar & sweetner 2-<5 g KH;Frisdrank m suiker en zoetstof 2-<5 g KH;2435
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Soft drink w sugar,sw&caffeine 2-<5 carb;Frisdrank m suiker en zoetst 2-<5 g KH m cafeine;2641
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Soft drink wo caffeine;Frisdrank;400
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Softdrink w sugar,sw&caffeine 5-<8g carb;Frisdrank m suiker en zoetst 5-<8 g KH m cafeine;2665
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Sports drink AA Isotone;Sportdrank AA-Drink Isotone;2041
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Sports drink AA Multi Nine;Sportdrank AA-Drink Multi Nine;2043
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Sports drink AA Sportwater;Sportdrank AA-Drink Sportwater;2040
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Sports drink Aquarius;Sportdrank Aquarius;2646
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Sports drink Extran Energ;Sportdrank Extran Energ;2218
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Sports drink Extran Hydro;Sportdrank Extran Hydro;2219
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Tea herbal instant sw prepared;Thee kruiden- oplos gezoet bereid;2444
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Tea prepared;Thee bereid;645
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Tomato juice;Sap tomaten-;413
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Vermouth;Vermouth zoete;415
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Water >100 mg calcium per litre;Water >100 mg calcium p liter;600
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Water 0-50 mg calcium per litre;Water 0-50 mg calcium p liter;598
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Water 50-100 mg calcium per litre;Water 50-100 mg calcium p liter;599
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Water average;Water gem;1885
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Whey drink light Rivella;Weidrank Rivella light;425
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Whey drink Taksi w sugar;Weidrank Taksi m suiker;1294
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Whey drink Taksi w sugar and sweetener;Weidrank Taksi m suiker en zoetstof;2220
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Whey drink Taksi w sweetener;Weidrank Taksi m zoetstof;2846
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Whisk;Whisk;421
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Wine medicinal pleegzusterbloedwijn;Wijn pleegzusterbloed-;930
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Wine red;Wijn rode;422
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Wine rose;Wijn rose;2610
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Wine white dr;Wijn witte droge;423
Alcoholic and non alcoholic beverages;Alcoholische en niet-alcoholis;Wine white sweet;Wijn witte zoete;2142
Bread;Brood;Baguette brown;Brood stok- bruin;2794
Bread;Brood;Baguette w cheese-onion;Brood stok- kaas-uien;2356
Bread;Brood;Baguette white;Brood stok- wit;2793
Bread;Brood;Bread Blue Band Goede Start light brown;Brood Blue Band Goede Start Lichtbruin;2494
Bread;Brood;Bread Blue Band Goede Start white bread;Brood Blue Band Goede Start Witbrood;2277
Bread;Brood;Bread brown w pumpkin seeds;Brood tarwe- m pompoenpitten;2821
Bread;Brood;Bread brown w seeds;Brood tarwe- m diverse zaden;2704
Bread;Brood;Bread brown w sunflower seeds;Brood tarwe- m zonnebloempitten;2382
Bread;Brood;Bread brown wheat;Brood tarwe-;236
Bread;Brood;Bread brown/wholemeal w muesli;Brood muesli- obv meel/volkorenmeel;2353
Bread;Brood;Bread brown/wholemeal w pumpkin seeds;Brood tarwe/volkoren- m pompoenpitten;2786
Bread;Brood;Bread brown/wholemeal w sunflower seeds;Brood tarwe/volkoren- m zonnebloempitten;2787
Bread;Brood;Bread ciabatta no filling;Brood wit- ciabatta ongevuld;2789
Bread;Brood;Bread corn;Brood mais-;2785
Bread;Brood;Bread corn w sunflower seeds;Brood mais- m zonnebloempitten;2707
Bread;Brood;Bread currant;Brood krenten-;233
Bread;Brood;Bread currant w almond paste;Brood krenten- m spijs;2352
Bread;Brood;Bread current wholemeal;Brood krenten- volkoren;1459
Bread;Brood;Bread current/raisin w almond paste;Brood krenten/rozijnen m spijs;2812
Bread;Brood;Bread gluten and starch free Glutafin;Brood gluten- en tarwezetmeelvrij Glutafin;2274
Bread;Brood;Bread linseed;Brood lijnzaad-;2349
Bread;Brood;Bread loaf glutenfree Glutafin;Brood glutenvrij Glutafin;2115
Bread;Brood;Bread low in carbohydrates;Brood koolhydraatarm;3007
Bread;Brood;Bread multigrain average w seeds;Brood meergranen- m div zaden gem;2350
Bread;Brood;Bread multigrain flour w seeds;Brood meergranen- m div zaden obv bloem;2783
Bread;Brood;Bread multigrain wholemeal Becel;Brood meergranen volkoren- Becel;2931
Bread;Brood;Bread multigrain wholemeal w seeds;Brood meergranen- m div zaden obv meel;2784
Bread;Brood;Bread pita white;Broodje wit pita;2790
Bread;Brood;Bread raisin;Brood rozijnen-;244
Bread;Brood;Bread raisin w almond paste;Brood rozijnen- met spijs;2814
Bread;Brood;Bread raisin/current average;Brood rozijnen-krenten gem;2813
Bread;Brood;Bread rye average;Brood rogge- gem;1395
Bread;Brood;Bread rye dark;Brood rogge- donker;242
Bread;Brood;Bread rye dark low sodium;Brood rogge- donker Na-;1011
Bread;Brood;Bread rye light;Brood rogge- licht;243
Bread;Brood;Bread sourdough wholemeal;Brood zuurdesem- volkoren;2788
Bread;Brood;Bread Tijger brown wheat;Brood tijger- bruin;2815
Bread;Brood;Bread Tijger white;Brood tijger- wit;2816
Bread;Brood;Bread wheat malt Tarvo;Brood mout- Tarvo;249
Bread;Brood;Bread wheatrye wholemeal;Brood tarwerogge- volkoren;1017
Bread;Brood;Bread white average milk/water based;Brood wit- gem van melk- en waterwit;2351
Bread;Brood;Bread white milk based;Brood wit- melk;241
Bread;Brood;Bread white Turkish;Brood wit- Turks;1361
